Nat,Name
1,Bulbasaur
2,Ivysaur
3,Venusaur
3-mega,Venusaur mega
4,Charmander
5,Charmeleon
6,Charizard
6-mega-x,Charizard mega X
6-mega-y,Charizard mega Y
7,Squirtle
8,Wartortle
9,Blastoise
9-mega,Blastoise mega
10,Caterpie
11,Metapod
12,Butterfree
13,Weedle
14,Kakuna
15,Beedrill
15-mega,Beedrill mega
16,Pidgey
17,Pidgeotto
18,Pidgeot
18-mega,Pidgeot mega
19,Rattata
19-alola,Rattata Alola
20,Raticate
20-alola,Raticate Alola
21,Spearow
22,Fearow
23,Ekans
24,Arbok
25,Pikachu
26,Raichu
26-alola,Raichu Alola
27,Sandshrew
27-alola,Sandshrew Alola
28,Sandslash
28-alola,Sandslash Alola
29,Nidoran F
30,Nidorina
31,Nidoqueen
32,Nidoran M
33,Nidorino
34,Nidoking
35,Clefairy
36,Clefable
37,Vulpix
37-alola,Vulpix Alola
38,Ninetales
38-alola,Ninetales Alola
39,Jigglypuff
40,Wigglytuff
41,Zubat
42,Golbat
43,Oddish
44,Gloom
45,Vileplume
46,Paras
47,Parasect
48,Venonat
49,Venomoth
50,Diglett
50-alola,Diglett Alola
51,Dugtrio
51-alola,Dugtrio Alola
52,Meowth
52-alola,Meowth Alola
53,Persian
53-alola,Persian Alola
54,Psyduck
55,Golduck
56,Mankey
57,Primeape
58,Growlithe
59,Arcanine
60,Poliwag
61,Poliwhirl
62,Poliwrath
63,Abra
64,Kadabra
65,Alakazam
65-mega,Alakazam mega
66,Machop
67,Machoke
68,Machamp
69,Bellsprout
70,Weepinbell
71,Victreebel
72,Tentacool
73,Tentacruel
74,Geodude
74-alola,Geodude Alola
75,Graveler
75-alola,Graveler Alola
76,Golem
76-alola,Golem Alola
77,Ponyta
78,Rapidash
79,Slowpoke
80,Slowbro
81,Magnemite
82,Magneton
83,Farfetch'd
84,Doduo
85,Dodrio
86,Seel
87,Dewgong
88,Grimer
88-alola,Grimer Alola
89,Muk
89-alola,Muk Alola
90,Shellder
91,Cloyster
92,Gastly
93,Haunter
94,Gengar
94-mega,Gengar mega
95,Onix
96,Drowzee
97,Hypno
98,Krabby
99,Kingler
100,Voltorb
101,Electrode
102,Exeggcute
103,Exeggutor
103-alola,Exeggutor Alola
104,Cubone
105,Marowak
105-alola,Marowak Alola
106,Hitmonlee
107,Hitmonchan
108,Lickitung
109,Koffing
110,Weezing
111,Rhyhorn
112,Rhydon
113,Chansey
114,Tangela
115,Kangaskhan
116,Horsea
117,Seadra
118,Goldeen
119,Seaking
120,Staryu
121,Starmie
122,Mr. Mime
123,Scyther
124,Jynx
125,Electabuzz
126,Magmar
127,Pinsir
127-mega,Pinsir mega
128,Tauros
129,Magikarp
130,Gyarados
130-mega,Gyarados mega
131,Lapras
132,Ditto
133,Eevee
134,Vaporeon
135,Jolteon
136,Flareon
137,Porygon
138,Omanyte
139,Omastar
140,Kabuto
141,Kabutops
142,Aerodactyl
142-mega,Aerodactyl mega
143,Snorlax
144,Articuno
145,Zapdos
146,Moltres
147,Dratini
148,Dragonair
149,Dragonite
150,Mewtwo
150-mega-x,Mewtwo mega X
150-mega-y,Mewtwo mega Y
151,Mew
152,Chikorita
153,Bayleef
154,Meganium
155,Cyndaquil
156,Quilava
157,Typhlosion
158,Totodile
159,Croconaw
160,Feraligatr
161,Sentret
162,Furret
163,Hoothoot
164,Noctowl
165,Ledyba
166,Ledian
167,Spinarak
168,Ariados
169,Crobat
170,Chinchou
